"仕入先コード","法人番号","検索カナ","略称","仕入先名","仕入先名2","郵便番号","住所１","住所２","住所３","電話番号","FAX番号","先方部署名","先方役職名","先方担当者名","メールアドレス","HPアドレス","敬称","取引先分類（営業日報FのKey）","分類２コード","分類３コード","分類４コード","分類５コード","部門コード","主担当者コード","摘要","発注書形式","仕入書形式","支払先コード","支払先管理","汎用数値１","汎用数値２","汎用数値３","汎用数値４","汎用数値５","汎用日付１","汎用日付２","汎用日付３","汎用日付４","汎用日付５","汎用摘要１","汎用摘要２","汎用摘要３","汎用摘要４","汎用摘要５","取引区分 1:取引中 2:取引終了","適格事業者番号","適格返還仕入書形式","支払書形式","支払締方法","支払締日１","支払締日２","支払締日３","支払予定月１","支払予定日１","支払予定月２","支払予定日２","支払予定月３","支払予定日３","支払パターン","支払パターン変更額","支払パターン割合","支払種別１","支払方法１","支払種別２","支払方法２","支払種別３","支払方法３","導入時支払締日","導入時支払締日残高","前月末残高","消費税区分 0:非課税 2:税抜","税額端数桁 「1」を入力する","税額端数処理3:四捨五入","税額計算単位 3:支払書を入力する","税額通知単位 3:支払書を入力する","金額端数桁","金額端数処理","相殺先コード","法人銀行コード","振込手数料負担","振込先銀行コード","振込先銀行支店コード","振込先銀行預金種別","振込先銀行口座番号","振込先銀行口座ﾌﾘｶﾞﾅ","振込先銀行口座名義","振込先銀行振込指定","適格請求書計算","でんさいネット利用者番号","電債銀行コード","電債銀行支店コード","電債銀行預金種別","電債銀行口座番号","電債銀行口座ﾌﾘｶﾞﾅ","電債銀行口座名義","支払期日日数"
"00001","",ｼ000,仕00001,仕00001,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00001",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00002","",ｼ000,仕00002,仕00002,"","","","","","","","","","","","","","001","000","000","0000","0000","000","000","",0,0,"00002",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,0,15,0,0,0,31,0,0,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/15",0.0000,0.0000,2,1,1,2,2,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00003","",ｼ000,仕00003,仕00003,"","","","","","","","","","","","","","001","000","000","0000","0000","000","000","",0,0,"00003",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,0,20,0,0,0,31,0,0,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,1,2,2,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00004","",ｼ000,仕00004,仕00004,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00004",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00005","",ｼ000,仕00005,仕00005,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00005",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",82500.0000,2808.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00007","",ｼ000,仕00007,仕00007,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00007",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00009","",ｼ000,仕00009,仕00009,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00009",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00010","",ｼ000,仕00010,仕00010,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00010",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",109200.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00012","",ｼ000,仕00012,仕00012,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00012",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
"00013","",ｼ000,仕00013,仕00013,"","","","","","","","","","","","","","002","000","000","0000","0000","000","000","",0,0,"00013",1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","",1,"",0,0,1,20,31,0,0,20,0,31,0,0,0,0.0000,0,3,1,0,1,0,1,"2025/03/31",0.0000,0.0000,2,1,3,3,3,1,1,"00000","0000",2,0,0,1,0,"","",1,1,"",0,0,1,0,"","",60
