"伝票日付","伝票番号","得意先コード","得意先名","得意先名２","敬称","請求先コード","担当者コード","担当者名","部門コード","部門名","等級汎用マスター１コード","等級汎用マスター１名","階級汎用マスター２コード","階級汎用マスター２名","荷印汎用マスター３コード","荷印汎用マスター３名","産地汎用マスター４コード","産地汎用マスター４名","汎用マスター５コード（伝票）","汎用マスター５名（伝票）","摘要","汎用数値１（伝票）","汎用数値２（伝票）","汎用数値３（伝票）","汎用数値４（伝票）","汎用数値５（伝票）","システムデート","ジョブデート","汎用日付３（伝票）","汎用日付４（伝票）","汎用日付５（伝票）","汎用摘要１（伝票）","汎用摘要２（伝票）","汎用摘要３（伝票）","汎用摘要４（伝票）","汎用摘要５（伝票）","付箋（伝票）","付箋摘要（伝票）","発行区分","諸口得意先法人番号","諸口得意先郵便番号","諸口得意先住所１","諸口得意先住所２","諸口得意先住所３","諸口得意先電話番号","諸口得意先FAX番号","行番号","金種","等級汎用マスター１コード","階級汎用マスター２コード","荷印汎用マスター３コード","産地汎用マスター４コード","汎用マスター５コード（明細）","相殺先コード","金額","手形(支払)期日","手形(記録)番号","手形銀行コード","手形銀行支店コード","顛末","法人銀行コード","入金口座番号","汎用数値１（明細）","汎用数値２（明細）","汎用数値３（明細）","汎用数値４（明細）","汎用数値５（明細）","汎用日付１（明細）","汎用日付２（明細）","汎用日付３（明細）","汎用日付４（明細）","汎用日付５（明細）","付箋（明細）","等級汎用マスター１名","階級汎用マスター２名","荷印汎用マスター３名","産地汎用マスター４名","汎用マスター５名（明細）","備考","手形銀行名","手形銀行支店名","法人銀行名","法人銀行支店名","振込依頼人名","汎用摘要１（明細）","汎用摘要２（明細）","汎用摘要３（明細）","汎用摘要４（明細）","汎用摘要５（明細）","付箋摘要（明細）"
"2025/06/05","0000000002","00013","得00013","","","00013","000","","000","","000","","000","","0000","","000","","000","","",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/19","2025/06/19",,,,"","","","","",0,"",0,,,,,,,,1,1,"000","000","0000","000","000","00000",10152.0000,,"",0,0,0,"0000",0,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,"","","","","","","","","","","","","","","","",""
"2025/06/07","0000000003","00602","得00602","","","00602","000","","000","","000","","000","","0000","","000","","000","","",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/19","2025/06/19",,,,"","","","","",0,"",0,,,,,,,,1,1,"000","000","0000","000","000","00000",97632.0000,,"",0,0,0,"0000",0,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,"","","","","","","","","","","","","","","","",""
"2025/06/09","0000000004","00700","得00700","","","00700","000","","000","","000","","000","","0000","","000","","000","","",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/19","2025/06/19",,,,"","","","","",0,"",0,,,,,,,,1,1,"000","000","0000","000","000","00000",14256.0000,,"",0,0,0,"0000",0,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,"","","","","","","","","","","","","","","","",""
"2025/06/09","0000000005","00010","得00010","","","00010","000","","000","","000","","000","","0000","","000","","000","","",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/19","2025/06/19",,,,"","","","","",0,"",0,,,,,,,,1,3,"000","000","0000","000","000","00000",13608.0000,,"",0,0,0,"0000",0,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,"","","","","","","","","","","","","","","","",""
"2025/06/09","0000000006","00069","得00069","","","00069","000","","000","","000","","000","","0000","","000","","000","","",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/19","2025/06/19",,,,"","","","","",0,"",0,,,,,,,,1,3,"000","000","0000","000","000","00000",839592.0000,,"",0,0,0,"0000",0,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,"","","","","","","","","","","","","","","","",""
"2025/06/09","0000000007","00075","得00075","","","00075","000","","000","","000","","000","","0000","","000","","000","","",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/19","2025/06/19",,,,"","","","","",0,"",0,,,,,,,,1,3,"000","000","0000","000","000","00000",3132.0000,,"",0,0,0,"0000",0,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,"","","","","","","","","","","","","","","","",""
"2025/06/10","0000000008","00059","得00059","","","00059","000","","000","","000","","000","","0000","","000","","000","","",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/19","2025/06/19",,,,"","","","","",0,"",0,,,,,,,,1,1,"000","000","0000","000","000","00000",14796.0000,,"",0,0,0,"0000",0,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,"","","","","","","","","","","","","","","","",""
"2025/06/10","0000000009","00014","得00014","","","00014","000","","000","","000","","000","","0000","","000","","000","","",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/19","2025/06/19",,,,"","","","","",0,"",0,,,,,,,,1,3,"000","000","0000","000","000","00000",25272.0000,,"",0,0,0,"0000",0,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,"","","","","","","","","","","","","","","","",""
"2025/06/10","0000000010","00026","得00026","","","00026","000","","000","","000","","000","","0000","","000","","000","","",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/19","2025/06/19",,,,"","","","","",0,"",0,,,,,,,,1,3,"000","000","0000","000","000","00000",44280.0000,,"",0,0,0,"0000",0,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,"","","","","","","","","","","","","","","","",""
"2025/06/10","0000000011","00400","得00400","","","00400","000","","000","","000","","000","","0000","","000","","000","","",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/19","2025/06/19",,,,"","","","","",0,"",0,,,,,,,,1,3,"000","000","0000","000","000","00000",718892.0000,,"",0,0,0,"0000",0,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,"","","","","","","","","","","","","","","","",""
