"伝票日付","伝票区分(71:在庫調整)","伝票番号","管理番号(表示のみ)","納期（伝票）","出荷予定日（伝票）","得意先コード","得意先名１","得意先名２(使用しない)","敬称(使用しない)","先方部署名(使用しない)","先方役職名(使用しない)","先方担当者名(使用しない)","請求先コード","担当者コード(使用しない)","担当者名(使用しない)","部門コード(使用しない)","部門名(使用しない)","納入先コード","納入先１（使用しない）","納入先名２(使用しない)","納入先先方部署名(使用しない)","納入先先方役職名(使用しない)","納入先先方担当者名(使用しない)","等級汎用マスター１コード","等級汎用マスター１名","階級汎用マスター２コード","階級汎用マスター２名","荷印汎用マスター３コード","荷印汎用マスター３名","産地汎用マスター４コード","産地汎用マスター４名","汎用マスター５コード（伝票）","汎用マスター５名（伝票）","倉庫コード（伝票）","倉庫名（伝票）","摘要(全角32文字)","社店コード（統一伝票）","分類コード（統一伝票）","取引先コード（統一伝票）","伝票区分（統一伝票）","汎用数値１（伝票）","汎用数値２（伝票）","汎用数値３（伝票）","汎用数値４（伝票）","汎用数値５（伝票）","システムデート","ジョブデート","汎用日付３（伝票）","汎用日付４（伝票）","汎用日付５（伝票）","汎用摘要１（伝票）","汎用摘要２（伝票）","汎用摘要３（伝票）","汎用摘要４（伝票）","汎用摘要５（伝票）","付箋（伝票）","付箋摘要（伝票）","発行区分","適格請求書計算","諸口得意先法人番号","諸口得意先郵便番号","諸口得意先住所１","諸口得意先住所２","諸口得意先住所３","諸口得意先電話番号","諸口得意先FAX番号","諸口納入先法人番号","諸口納入先郵便番号","諸口納入先住所１","諸口納入先住所２","諸口納入先住所３","諸口納入先電話番号","諸口納入先FAX番号","諸口納入先敬称","１階層目行番号","２階層目行番号","３階層目行番号","４階層目行番号","５階層目行番号","明細種(1固定)","納期（明細）","出荷予定日（明細）","等級コード","階級コード","荷印コード","産地コード(任意)","区分コード","倉庫コード（明細）","商品コード","ケース２入数(使用しない)","ケース２箱数(使用しない)","入数(使用しない)","箱数(使用しない)","数量","区分(1:ﾛｽ,4:振替,6:調整)","単価","金額","本体金額","消費税(使用しない)","原単価(使用しない)","原価(使用しない)","原価本体金額","売単価(使用しない)","売価(使用しない)","売価本体金額","ケース２入数(使用しない)小数桁数","ケース２箱数(使用しない)小数桁数","入数(使用しない)小数桁数","箱数(使用しない)小数桁数","数量小数桁数","数量端数処理","単価小数桁数","使用単価","金額端数桁数","金額端数処理","消費税区分","売価消費税区分","消費税率インデックス","税額計算単位","税額端数桁","税額端数処理","仕入先コード(使用しない)","計算式コード","汎用数値１（明細）","汎用数値２（明細）","汎用数値３（明細）","汎用数値４（明細）","汎用数値５（明細）","汎用日付１（明細）","汎用日付２（明細）","汎用日付３（明細）","汎用日付４（明細）","汎用日付５（明細）","付箋（明細）","印字対象外区分","明細区分","同時入力区分","直送区分","等級名","階級名","荷印名","産地名","区分名","倉庫名（明細）","商品名","商品名２(使用しない)","商品名３(使用しない)","商品名４(使用しない)","商品名５(使用しない)","印刷用商品コード(使用しない)","(2:G経費,3:ｸｻﾘ,5:加工費B)","手入力項目(半角8文字)","仕入先名１(使用しない)","仕入先名２(使用しない)","汎用摘要１（明細）","汎用摘要２（明細）","汎用摘要３（明細）","汎用摘要４（明細）","汎用摘要５（明細）","付箋摘要（明細）"
"2025/05/31",71,"0000000003","0000000001",,,"00000","","","","","","","00000","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/13","2025/06/13",,,,"","","","","",0,"",0,1,,,,,,,,,,,,,,,,1,0,0,0,0,1,,,"056","026","5106","000","000","0000","00104",0.0000,0.0000,0.0000,0.0000,2.0000,"06",4500.0000,9000.0000,9000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,1,0,1,1,1,2,2,3,2,1,1,"00000","000",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,0,0,0,1,等056,階026,荷5106,"","","",商00104,"","","","","",単06,"","","","","","","","",""
"2025/05/31",71,"0000000003","0000000001",,,"00000","","","","","","","00000","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/13","2025/06/13",,,,"","","","","",0,"",0,1,,,,,,,,,,,,,,,,2,0,0,0,0,1,,,"056","032","5106","000","000","0000","00104",0.0000,0.0000,0.0000,0.0000,12.0000,"06",5063.0000,60756.0000,60756.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,1,0,1,1,1,2,2,3,2,1,1,"00000","000",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,0,0,0,1,等056,階032,荷5106,"","","",商00104,"","","","","",単06,"","","","","","","","",""
"2025/05/31",71,"0000000003","0000000001",,,"00000","","","","","","","00000","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/13","2025/06/13",,,,"","","","","",0,"",0,1,,,,,,,,,,,,,,,,3,0,0,0,0,1,,,"057","026","5106","000","000","0000","00104",0.0000,0.0000,0.0000,0.0000,3.0000,"06",5000.0000,15000.0000,15000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,1,0,1,1,1,2,2,3,2,1,1,"00000","000",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,0,0,0,1,等057,階026,荷5106,"","","",商00104,"","","","","",単06,"","","","","","","","",""
"2025/05/31",71,"0000000003","0000000001",,,"00000","","","","","","","00000","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/13","2025/06/13",,,,"","","","","",0,"",0,1,,,,,,,,,,,,,,,,4,0,0,0,0,1,,,"510","024","5115","000","000","0000","00104",0.0000,0.0000,0.0000,0.0000,3.0000,"06",4000.0000,12000.0000,12000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,1,0,1,1,1,2,2,3,2,1,1,"00000","000",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,0,0,0,1,等510,階024,荷5115,"","","",商00104,"","","","","",単06,"","","","","","","","",""
"2025/05/31",71,"0000000003","0000000001",,,"00000","","","","","","","00000","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/13","2025/06/13",,,,"","","","","",0,"",0,1,,,,,,,,,,,,,,,,5,0,0,0,0,1,,,"510","026","5115","000","000","0000","00104",0.0000,0.0000,0.0000,0.0000,9.0000,"06",4242.0000,38178.0000,38178.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,1,0,1,1,1,2,2,3,2,1,1,"00000","000",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,0,0,0,1,等510,階026,荷5115,"","","",商00104,"","","","","",単06,"","","","","","","","",""
"2025/05/31",71,"0000000003","0000000001",,,"00000","","","","","","","00000","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/13","2025/06/13",,,,"","","","","",0,"",0,1,,,,,,,,,,,,,,,,6,0,0,0,0,1,,,"510","032","5115","000","000","0000","00104",0.0000,0.0000,0.0000,0.0000,71.0000,"06",4925.0000,349675.0000,349675.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,1,0,1,1,1,2,2,3,2,1,1,"00000","000",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,0,0,0,1,等510,階032,荷5115,"","","",商00104,"","","","","",単06,"","","","","","","","",""
"2025/05/31",71,"0000000003","0000000001",,,"00000","","","","","","","00000","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/13","2025/06/13",,,,"","","","","",0,"",0,1,,,,,,,,,,,,,,,,7,0,0,0,0,1,,,"540","028","5115","000","000","0000","00104",0.0000,0.0000,0.0000,0.0000,11.0000,"06",4800.0000,52800.0000,52800.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,1,0,1,1,1,2,2,3,2,1,1,"00000","000",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,0,0,0,1,等540,階028,荷5115,"","","",商00104,"","","","","",単06,"","","","","","","","",""
"2025/05/31",71,"0000000003","0000000001",,,"00000","","","","","","","00000","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/13","2025/06/13",,,,"","","","","",0,"",0,1,,,,,,,,,,,,,,,,8,0,0,0,0,1,,,"025","022","7011","000","000","0000","00104",0.0000,0.0000,0.0000,0.0000,3.0000,"06",3700.0000,11100.0000,11100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,1,0,1,1,1,2,2,3,2,1,1,"00000","000",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,0,0,0,1,等025,階022,荷7011,"","","",商00104,"","","","","",単06,"","","","","","","","",""
"2025/05/31",71,"0000000003","0000000001",,,"00000","","","","","","","00000","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/13","2025/06/13",,,,"","","","","",0,"",0,1,,,,,,,,,,,,,,,,9,0,0,0,0,1,,,"025","024","7011","000","000","0000","00104",0.0000,0.0000,0.0000,0.0000,51.0000,"06",4260.0000,217260.0000,217260.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,1,0,1,1,1,2,2,3,2,1,1,"00000","000",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,0,0,0,1,等025,階024,荷7011,"","","",商00104,"","","","","",単06,"","","","","","","","",""
"2025/05/31",71,"0000000003","0000000001",,,"00000","","","","","","","00000","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00",0.0000,0.0000,0.0000,0.0000,0.0000,"2025/06/13","2025/06/13",,,,"","","","","",0,"",0,1,,,,,,,,,,,,,,,,10,0,0,0,0,1,,,"027","024","7011","000","000","0000","00104",0.0000,0.0000,0.0000,0.0000,15.0000,"06",3944.0000,59160.0000,59160.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,1,0,1,1,1,2,2,3,2,1,1,"00000","000",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0,0,0,0,1,等027,階024,荷7011,"","","",商00104,"","","","","",単06,"","","","","","","","",""
