"商品コード","検索カナ","略称","印刷用コード","商品名","名称２","名称３","名称４","名称５","品合せ担当者CD","分類２コード","分類３コード","分類４コード","分類５コード","部門コード","バラ単位コード","ケース単位コード","ケース２単位コード","ケース入数","ケース２入数","使用単価","ケース入数小数桁","ケース箱数小数桁","ケース２入数小数桁","ケース２箱数小数桁","単価小数桁","数量小数桁","数量端数処理","金額端数桁","金額端数処理","消費税区分","売上使用単価","売上使用単価 取得順序","仕入使用単価","仕入使用単価 取得順序","使用原単価","使用原単価 取得順序","バラ標準価格","ケース標準価格","ケース２標準価格","バラ原価","ケース原価","ケース２原価","バラ売価１","ケース売価１","ケース２売価１","バラ売価２","ケース売価２","ケース２売価２","バラ売価３","ケース売価３","ケース２売価３","バラ売価４","ケース売価４","ケース２売価４","バラ売価５","ケース売価５","ケース２売価５","在庫管理","在庫単価","導入時在庫日付","導入時在庫数量","導入時在庫金額","主仕入先コード","売上計算式コード","仕入計算式コード","摘要","日計歩引金額","月計歩引金額","汎用数値３","汎用数値４","汎用数値５","汎用日付１","汎用日付２","汎用日付３","汎用日付４","汎用日付５","汎用摘要１","汎用摘要２","汎用摘要３","汎用摘要４","汎用摘要５","JANコード","有効期限","在庫評価方法","消費税率"
"00001","ｼ000","商00001","","商00001","","","","","001","000","000","0000","0000","000","00","00","00",0.0000,0.0000,1,0,0,0,0,2,2,1,1,3,2,224,"834567",68,"801269",64,"80123469",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,,0.0000,0.0000,"未設定","000","000","",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","","",,1,3
"00002","ｼ000","商00002","","商00002","","","","","001","000","000","0000","0000","000","00","00","00",0.0000,0.0000,1,0,0,0,0,2,2,1,1,3,2,224,"834567",68,"801269",64,"80123469",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,,0.0000,0.0000,"未設定","000","000","",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","","",,1,3
"00003","ｼ000","商00003","","商00003","","","","","001","000","000","0000","0000","000","00","00","00",0.0000,0.0000,1,0,0,0,0,2,2,1,1,3,2,224,"834567",68,"801269",64,"80123469",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,,0.0000,0.0000,"未設定","000","000","",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","","",,1,3
"00005","ｼ000","商00005","","商00005","","","","","000","000","000","0000","0000","000","00","00","00",0.0000,0.0000,1,0,0,0,0,0,0,1,1,1,2,224,"834567",68,"801269",64,"80123469",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,,0.0000,0.0000,"未設定","000","000","",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","","",,1,3
"00070","ｼ000","商00070","","商00070","","","","","001","000","000","0000","0000","000","00","00","00",0.0000,0.0000,1,0,0,0,0,2,2,1,1,3,2,0,"834567",0,"801269",0,"80123469",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,,0.0000,0.0000,"00000","000","000","",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","","",,1,3
"00071","ｼ000","商00071","","商00071","","","","","001","000","000","0000","0000","000","00","00","00",0.0000,0.0000,1,0,0,0,0,2,2,1,1,3,2,0,"834567",0,"801269",0,"80123469",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,,0.0000,0.0000,"00000","000","000","",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","","",,1,3
"00072","ｼ000","商00072","","商00072","","","","","001","000","000","0000","0000","000","00","00","00",0.0000,0.0000,1,0,0,0,0,2,2,1,1,3,2,0,"834567",0,"801269",0,"80123469",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,,0.0000,0.0000,"00000","000","000","",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","","",,1,3
"00073","ｼ000","商00073","","商00073","","","","","001","000","000","0000","0000","000","00","00","00",0.0000,0.0000,1,0,0,0,0,2,2,1,1,3,2,0,"834567",0,"801269",0,"80123469",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,,0.0000,0.0000,"00000","000","000","",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","","",,1,3
"00074","ｼ000","商00074","","商00074","","","","","001","000","000","0000","0000","000","00","00","00",0.0000,0.0000,1,0,0,0,0,2,2,1,1,3,2,0,"834567",0,"801269",0,"80123469",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,,0.0000,0.0000,"00000","000","000","",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","","",,1,3
"00075","ｼ000","商00075","","商00075","","","","","001","000","000","0000","0000","000","00","00","00",0.0000,0.0000,1,0,0,0,0,2,2,1,1,3,2,0,"834567",0,"801269",0,"80123469",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,,0.0000,0.0000,"00000","000","000","",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","","","",,1,3
