"伝票日付(西暦4桁YYYYMMDD)","伝票区分(51:掛売,52:現売)","伝票番号(自動採番)","受注番号(使用しない)","請求日(西暦4桁YYYYMMDD)","回収予定日","出荷計上日(使用しない)","得意先コード","得意先名１","得意先名２(使用しない)","敬称(使用しない)","先方部署名(使用しない)","先方役職名(使用しない)","先方担当者名(使用しない)","請求先コード","担当者コード(使用しない)","担当者名(使用しない)","部門コード(使用しない)","部門名(使用しない)","納入先コード(使用しない)","納入先名１(使用しない)","納入先名２(使用しない)","納入先先方部署名(使用しない)","納入先先方役職名(使用しない)","納入先先方担当者名(使用しない)","等級汎用マスター１コード","等級汎用マスター１名","階級汎用マスター２コード","階級汎用マスター２名","荷印汎用マスター３コード","荷印汎用マスター３名","産地汎用マスター４コード","産地汎用マスター４名","汎用マスター５コード（伝票）","汎用マスター５名（伝票）","倉庫コード（伝票）","倉庫名（伝票）","摘要(全角32文字)","社店コード（統一伝票）","分類コード（統一伝票）","取引先コード（統一伝票）","伝票区分（統一伝票）","汎用数値１（伝票）","汎用数値２（伝票）","汎用数値３（伝票）","汎用数値４（伝票）","汎用数値５（伝票）","システムデート","ジョブデート","汎用日付３（伝票）","汎用日付４（伝票）","汎用日付５（伝票）","汎用摘要１（伝票）","汎用摘要２（伝票）","汎用摘要３（伝票）","汎用摘要４（伝票）","汎用摘要５（伝票）","付箋（伝票）","付箋摘要（伝票）","発行区分","返還区分","適格請求書計算","諸口得意先法人番号","諸口得意先郵便番号","諸口得意先住所１","諸口得意先住所２","諸口得意先住所３","諸口得意先電話番号","諸口得意先FAX番号","諸口納入先法人番号","諸口納入先郵便番号","諸口納入先住所１","諸口納入先住所２","諸口納入先住所３","諸口納入先電話番号","諸口納入先FAX番号","諸口納入先敬称","１階層目行番号","２階層目行番号","３階層目行番号","４階層目行番号","５階層目行番号","明細種(1:売上,2:返品,4:値引)","受注番号(使用しない)","等級コード","階級コード","荷印コード","産地コード(任意)","汎用マスター５コード（明細）","倉庫コード（明細）","商品コード","ケース２入数(使用しない)","ケース２箱数(使用しない)","入数(使用しない)","箱数(使用しない)","数量","単位コード(使用しない)","単価","金額","本体金額","消費税(使用しない)","原単価(使用しない)","原価(使用しない)","原価本体金額","売単価(使用しない)","売価(使用しない)","売価本体金額","ケース２入数(使用しない)小数桁数","ケース２箱数(使用しない)小数桁数","入数(使用しない)小数桁数","箱数(使用しない)小数桁数","数量小数桁数","数量端数処理","単価小数桁数","使用単価","金額端数桁数","金額端数処理","消費税区分","売価消費税区分","消費税率インデックス","税額計算単位","税額端数桁","税額端数処理","仕入先コード(使用しない)","計算式コード","汎用数値１（明細）","汎用数値２（明細）","汎用数値３（明細）","汎用数値４（明細）","汎用数値５（明細）","汎用日付１（明細）","汎用日付２（明細）","汎用日付３（明細）","汎用日付４（明細）","汎用日付５（明細）","付箋（明細）","印字対象外区分","明細区分","ロケーションNo.","同時入力区分","直送区分","等級名","階級名","荷印名","産地名","汎用マスター５名（明細）","倉庫名（明細）","商品名","商品名２(使用しない)","商品名３(使用しない)","商品名４(使用しない)","商品名５(使用しない)","印刷用商品コード(使用しない)","単位名(使用しない)","手入力項目(半角8文字)","仕入先名１(使用しない)","仕入先名２(使用しない)","汎用摘要１（明細）","汎用摘要２（明細）","汎用摘要３（明細）","汎用摘要４（明細）","汎用摘要５（明細）","付箋摘要（明細）","伝票日付","管理番号(表示のみ)","受注伝票番号","受注１階層目行番号","受注２階層目行番号","受注３階層目行番号","受注４階層目行番号","受注５階層目行番号"
"2025/06/01","51","0000000535","0000000000","2025/06/01","","2025/06/01","00100","得00100","","","","","","00100","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00","0.0000","0.0000","0.0000","0.0000","0.0000","2025/06/02","2025/06/02","","","","","","","","","0","","0","0","1","","","","","","","","","","","","","","","","1","0","0","0","0","1","0000000000","048","086","8124","030","000","0000","00401","0.0000","0.0000","0.0000","0.0000","16.0000","00","3800.0000","60800.0000","60800.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0","1","0","1","1","1","2","2","3","3","1","3","00000","000","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","","0","0","0","0000","0","1","等048","階086","荷8124","産030","","","商00401","","","","","","","ﾃﾆ1","","","","","","","","","","","","","","","",""
"2025/06/01","51","0000000535","0000000000","2025/06/01","","2025/06/01","00100","得00100","","","","","","00100","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00","0.0000","0.0000","0.0000","0.0000","0.0000","2025/06/02","2025/06/02","","","","","","","","","0","","0","0","1","","","","","","","","","","","","","","","","2","0","0","0","0","1","0000000000","025","024","7011","002","000","0000","00104","0.0000","0.0000","0.0000","0.0000","15.0000","00","4800.0000","72000.0000","72000.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0","1","0","1","1","1","2","2","3","3","1","3","00000","000","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","","0","0","0","0000","0","1","等025","階024","荷7011","産002","","","商00104","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01","51","0000000535","0000000000","2025/06/01","","2025/06/01","00100","得00100","","","","","","00100","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00","0.0000","0.0000","0.0000","0.0000","0.0000","2025/06/02","2025/06/02","","","","","","","","","0","","0","0","1","","","","","","","","","","","","","","","","3","0","0","0","0","1","0000000000","000","000","0000","049","000","0000","01516","0.0000","0.0000","0.0000","0.0000","3.0000","00","3800.0000","11400.0000","11400.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0","1","0","1","1","1","2","2","3","3","1","3","00000","000","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","","0","0","0","0000","0","1","","","","産049","","","商01516","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01","51","0000000535","0000000000","2025/06/01","","2025/06/01","00100","得00100","","","","","","00100","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00","0.0000","0.0000","0.0000","0.0000","0.0000","2025/06/02","2025/06/02","","","","","","","","","0","","0","0","1","","","","","","","","","","","","","","","","4","0","0","0","0","1","0000000000","048","086","5776","042","000","0000","01099","0.0000","0.0000","0.0000","0.0000","20.0000","00","500.0000","10000.0000","10000.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0","1","0","1","1","1","2","2","3","3","1","3","00000","000","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","","0","0","0","0000","0","1","等048","階086","荷5776","産042","","","商01099","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01","51","0000000535","0000000000","2025/06/01","","2025/06/01","00100","得00100","","","","","","00100","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00","0.0000","0.0000","0.0000","0.0000","0.0000","2025/06/02","2025/06/02","","","","","","","","","0","","0","0","1","","","","","","","","","","","","","","","","5","0","0","0","0","1","0000000000","000","208","0000","031","000","0000","00901","0.0000","0.0000","0.0000","0.0000","20.0000","00","670.0000","13400.0000","13400.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0","1","0","1","1","1","2","2","3","3","1","3","00000","000","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","","0","0","0","0000","0","1","","階208","","産031","","","商00901","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01","51","0000000535","0000000000","2025/06/01","","2025/06/01","00100","得00100","","","","","","00100","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00","0.0000","0.0000","0.0000","0.0000","0.0000","2025/06/02","2025/06/02","","","","","","","","","0","","0","0","1","","","","","","","","","","","","","","","","6","0","0","0","0","1","0000000000","008","077","5800","044","000","0000","15020","0.0000","0.0000","0.0000","0.0000","10.0000","00","2000.0000","20000.0000","20000.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","2","1","2","1","1","1","2","2","3","3","1","3","00000","000","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","","0","0","0","0000","0","1","等008","階077","荷5800","産044","","","商15020","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01","51","0000000535","0000000000","2025/06/01","","2025/06/01","00100","得00100","","","","","","00100","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00","0.0000","0.0000","0.0000","0.0000","0.0000","2025/06/02","2025/06/02","","","","","","","","","0","","0","0","1","","","","","","","","","","","","","","","","7","0","0","0","0","1","0000000000","584","080","5444","022","000","0000","00569","0.0000","0.0000","0.0000","0.0000","160.0000","00","360.0000","57600.0000","57600.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0","1","0","1","1","1","2","2","3","3","1","3","未設定","000","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","","0","0","0","0000","0","1","等584","階080","荷5444","産022","","","商00569","","","","","","","","未設定","","","","","","","","","","","","","","",""
"2025/06/01","51","0000000535","0000000000","2025/06/01","","2025/06/01","00100","得00100","","","","","","00100","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00","0.0000","0.0000","0.0000","0.0000","0.0000","2025/06/02","2025/06/02","","","","","","","","","0","","0","0","1","","","","","","","","","","","","","","","","8","0","0","0","0","1","0000000000","008","080","5773","042","000","0000","01503","0.0000","0.0000","0.0000","0.0000","5.0000","00","2400.0000","12000.0000","12000.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0","1","0","1","1","1","2","2","3","3","1","3","00000","000","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","","0","0","0","0000","0","1","等008","階080","荷5773","産042","","","商01503","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01","51","0000000535","0000000000","2025/06/01","","2025/06/01","00100","得00100","","","","","","00100","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00","0.0000","0.0000","0.0000","0.0000","0.0000","2025/06/02","2025/06/02","","","","","","","","","0","","0","0","1","","","","","","","","","","","","","","","","9","0","0","0","0","1","0000000000","048","083","5025","030","000","0000","00200","0.0000","0.0000","0.0000","0.0000","30.0000","00","140.0000","4200.0000","4200.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0","1","0","1","1","1","2","2","3","3","1","3","00000","000","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","","0","0","0","0000","0","1","等048","階083","荷5025","産030","","","商00200","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01","51","0000000535","0000000000","2025/06/01","","2025/06/01","00100","得00100","","","","","","00100","000","","000","","0000","","","","","","000","","000","","0000","","000","","000","","0000","","","000000","0000","000000","00","0.0000","0.0000","0.0000","0.0000","0.0000","2025/06/02","2025/06/02","","","","","","","","","0","","0","0","1","","","","","","","","","","","","","","","","10","0","0","0","0","1","0000000000","605","015","8001","056","000","0000","00160","0.0000","0.0000","0.0000","0.0000","2.0000","00","4950.0000","9900.0000","9900.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0","1","0","1","1","1","2","2","3","3","1","3","00000","000","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","","0","0","0","0000","0","1","等605","階015","荷8001","産056","","","商00160","","","","","","","","","","","","","","","","","","","","","","",""
