"等級コード","等級名","検索カナ","汎用数値１","汎用数値２","汎用数値３","汎用数値４","汎用数値５","汎用日付１","汎用日付２","汎用日付３","汎用日付４","汎用日付５","汎用摘要１","汎用摘要２","汎用摘要３","汎用摘要４","汎用摘要５"
"000","等000","ﾄ000",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"001","等001","ﾄ001",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"002","等002","ﾄ002",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"003","等003","ﾄ003",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"004","等004","ﾄ004",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"005","等005","ﾄ005",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"006","等006","ﾄ006",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"007","等007","ﾄ007",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"008","等008","ﾄ008",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"009","等009","ﾄ009",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"010","等010","ﾄ010",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"011","等011","ﾄ011",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"012","等012","ﾄ012",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"013","等013","ﾄ013",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"014","等014","ﾄ014",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"015","等015","ﾄ015",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"016","等016","ﾄ016",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"017","等017","ﾄ017",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"018","等018","ﾄ018",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"019","等019","ﾄ019",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"020","等020","ﾄ020",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"021","等021","ﾄ021",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"022","等022","ﾄ022",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"024","等024","ﾄ024",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"025","等025","ﾄ025",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"026","等026","ﾄ026",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"027","等027","ﾄ027",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"028","等028","ﾄ028",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"029","等029","ﾄ029",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"030","等030","ﾄ030",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"031","等031","ﾄ031",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"032","等032","ﾄ032",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"033","等033","ﾄ033",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"034","等034","ﾄ034",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"035","等035","ﾄ035",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"036","等036","ﾄ036",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"037","等037","ﾄ037",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"038","等038","ﾄ038",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"039","等039","ﾄ039",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"040","等040","ﾄ040",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"041","等041","ﾄ041",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"042","等042","ﾄ042",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"043","等043","ﾄ043",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"044","等044","ﾄ044",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"045","等045","ﾄ045",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"046","等046","ﾄ046",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"047","等047","ﾄ047",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"048","等048","ﾄ048",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"049","等049","ﾄ049",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"050","等050","ﾄ050",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"051","等051","ﾄ051",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"052","等052","ﾄ052",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"053","等053","ﾄ053",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"054","等054","ﾄ054",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"055","等055","ﾄ055",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"056","等056","ﾄ056",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"057","等057","ﾄ057",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"058","等058","ﾄ058",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"059","等059","ﾄ059",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"060","等060","ﾄ060",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"061","等061","ﾄ061",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"062","等062","ﾄ062",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"063","等063","ﾄ063",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"064","等064","ﾄ064",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"065","等065","ﾄ065",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"066","等066","ﾄ066",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"067","等067","ﾄ067",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"068","等068","ﾄ068",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"069","等069","ﾄ069",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"070","等070","ﾄ070",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"071","等071","ﾄ071",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"072","等072","ﾄ072",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"073","等073","ﾄ073",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
