"荷印コード","荷印名","検索カナ","汎用数値１","汎用数値２","汎用数値３","汎用数値４","汎用数値５","汎用日付１","汎用日付２","汎用日付３","汎用日付４","汎用日付５","汎用摘要１","汎用摘要２","汎用摘要３","汎用摘要４","汎用摘要５"
"0001",荷0001,ﾆ000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"0002",荷0002,ﾆ000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"0003",荷0003,ﾆ000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5000",荷5000,ﾆ500,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5001",荷5001,ﾆ500,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5002",荷5002,ﾆ500,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5003",荷5003,ﾆ500,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5004",荷5004,ﾆ500,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5005",荷5005,ﾆ500,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5006",荷5006,ﾆ500,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5007",荷5007,ﾆ500,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5008",荷5008,ﾆ500,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5009",荷5009,ﾆ500,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5010",荷5010,ﾆ501,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5011",荷5011,ﾆ501,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5012",荷5012,ﾆ501,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5013",荷5013,ﾆ501,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5014",荷5014,ﾆ501,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5015",荷5015,ﾆ501,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5016",荷5016,ﾆ501,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5017",荷5017,ﾆ501,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5018",荷5018,ﾆ501,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5019",荷5019,ﾆ501,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5020",荷5020,ﾆ502,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5021",荷5021,ﾆ502,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5022",荷5022,ﾆ502,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5023",荷5023,ﾆ502,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5024",荷5024,ﾆ502,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5025",荷5025,ﾆ502,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5026",荷5026,ﾆ502,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5027",荷5027,ﾆ502,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5028",荷5028,ﾆ502,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5029",荷5029,ﾆ502,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5030",荷5030,ﾆ503,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5031",荷5031,ﾆ503,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5032",荷5032,ﾆ503,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5033",荷5033,ﾆ503,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5034",荷5034,ﾆ503,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5035",荷5035,ﾆ503,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5036",荷5036,ﾆ503,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5037",荷5037,ﾆ503,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5038",荷5038,ﾆ503,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5039",荷5039,ﾆ503,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5040",荷5040,ﾆ504,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5041",荷5041,ﾆ504,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5042",荷5042,ﾆ504,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5043",荷5043,ﾆ504,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5044",荷5044,ﾆ504,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5045",荷5045,ﾆ504,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5046",荷5046,ﾆ504,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5047",荷5047,ﾆ504,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5048",荷5048,ﾆ504,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5049",荷5049,ﾆ504,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5050",荷5050,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5051",荷5051,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5052",荷5052,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5053",荷5053,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5054",荷5054,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5055",荷5055,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5056",荷5056,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5057",荷5057,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5058",荷5058,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5059",荷5059,ﾆ505,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5060",荷5060,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5061",荷5061,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5062",荷5062,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5063",荷5063,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5064",荷5064,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5065",荷5065,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5066",荷5066,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5067",荷5067,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5068",荷5068,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5069",荷5069,ﾆ506,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5070",荷5070,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5071",荷5071,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5072",荷5072,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5073",荷5073,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5074",荷5074,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5075",荷5075,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5076",荷5076,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5077",荷5077,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5078",荷5078,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5079",荷5079,ﾆ507,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5080",荷5080,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5081",荷5081,ﾆ508,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
